"ONTOLOGY","TERM","N","DE","P.DE","FDR"
"BP","regulation of monocyte differentiation",20,2,0.263452481219566,1
"BP","regulation of osteoblast differentiation",160,2,0.992210384943063,1
"BP","positive regulation of osteoclast differentiation",31,2,0.360906582966262,1
"BP","positive regulation of cilium assembly",34,2,0.464353381786388,1
"BP","positive regulation of action potential",9,2,0.0693025209994427,1
"BP","regulation of adenylate cyclase activity",30,2,0.435542915803104,1
"BP","positive regulation of axon extension",39,2,0.665298419989507,1
"BP","positive regulation of blood pressure",37,2,0.397168570949335,1
"BP","negative regulation of endocytosis",72,2,0.796318373136701,1
"BP","positive regulation of glycogen catabolic process",4,2,0.00793813105844262,1
"BP","positive regulation of heart contraction",39,2,0.480995999538994,1
"BP","negative regulation of innate immune response",104,2,0.892403808495938,1
"BP","negative regulation of membrane potential",14,2,0.0940451785857439,1
"BP","positive regulation of protein kinase activity",127,2,0.985613550300807,1
"BP","negative regulation of proteolysis",145,2,0.979585683594487,1
"BP","positive regulation of vasoconstriction",29,2,0.359591067727512,1
"BP","negative regulation of DNA recombination",54,2,0.606147653433347,1
"BP","positive regulation of fatty acid metabolic process",42,2,0.498298625096399,1
"BP","negative regulation of steroid metabolic process",37,2,0.402030702146298,1
"BP","polyol biosynthetic process",62,2,0.687306688037421,1
"BP","regulation of fatty acid oxidation",34,2,0.465580552610443,1
"BP","D-glucose import",83,2,0.881640843105521,1
"BP","regulation of D-glucose import",60,2,0.745325670376226,1
"BP","phosphatidylethanolamine metabolic process",31,2,0.318781228563241,1
"BP","monosaccharide biosynthetic process",99,2,0.915057550952676,1
"BP","monosaccharide catabolic process",59,2,0.723330150095947,1
"BP","ribose phosphate biosynthetic process",176,2,0.990127093200047,1
"BP","icosanoid biosynthetic process",58,2,0.522594679283138,1
"BP","neutral lipid biosynthetic process",48,2,0.613525221178788,1
"BP","acylglycerol biosynthetic process",48,2,0.613525221178788,1
"BP","phosphatidylglycerol metabolic process",36,2,0.413003836343811,1
"BP","glycerophospholipid catabolic process",34,2,0.46066647912064,1
"BP","glycerolipid catabolic process",69,2,0.801368981006893,1
"BP","photoreceptor cell differentiation",74,2,0.852798873548617,1
"BP","regulation of centrosome cycle",59,2,0.690993316538914,1
"BP","positive regulation of alpha-beta T cell activation",74,2,0.846881994031779,1
"BP","negative regulation of alpha-beta T cell activation",46,2,0.566253668549779,1
"BP","positive regulation of alpha-beta T cell differentiation",57,2,0.731899701265743,1
"BP","negative regulation of alpha-beta T cell differentiation",30,2,0.403073133514333,1
"BP","response to antibiotic",37,2,0.546579121507112,1
"BP","muscle cell cellular homeostasis",26,2,0.315803624293267,1
"BP","symbiont entry into host cell",132,2,0.979195869021796,1
"BP","positive regulation of protein export from nucleus",19,2,0.157528061882168,1
"BP","regulation of hormone biosynthetic process",22,2,0.322692416973644,1
"BP","pore complex assembly",19,2,0.253982528367304,1
"BP","mitochondrion transport along microtubule",28,2,0.383631116781151,1
"BP","vascular endothelial growth factor receptor signaling pathway",63,2,0.809287720004767,1
"BP","positive regulation of mRNA splicing, via spliceosome",27,2,0.270776866044829,1
"BP","behavioral response to ethanol",10,2,0.078786884700267,1
"BP","regulation of long-term neuronal synaptic plasticity",26,2,0.422141155666479,1
"BP","vesicle targeting, rough ER to cis-Golgi",25,2,0.243593957909686,1
"BP","COPII vesicle coating",25,2,0.243593957909686,1
"BP","norepinephrine secretion",13,2,0.0714051231909561,1
"BP","lymphocyte chemotaxis",46,2,0.462450763444693,1
"BP","mRNA stabilization",73,2,0.839794832580571,1
"BP","lung alveolus development",55,2,0.744896811299263,1
"BP","endosomal lumen acidification",14,2,0.0980842694400084,1
"BP","sympathetic nervous system development",22,2,0.35145430454785,1
"BP","parasympathetic nervous system development",19,2,0.304521039828827,1
"BP","synaptic vesicle membrane organization",36,2,0.526977964013526,1
"BP","negative regulation of viral process",76,2,0.75293847700288,1
"BP","lymph node development",21,2,0.230890414228981,1
"BP","spleen development",42,2,0.575812939509146,1
"BP","embryonic digestive tract morphogenesis",18,2,0.244161312845482,1
"BP","regulation of muscle organ development",45,2,0.641478158213605,1
"BP","negative regulation of smooth muscle cell proliferation",70,2,0.727726550915221,1
"BP","negative regulation of collateral sprouting",12,2,0.178531394233559,1
"BP","oligodendrocyte differentiation",109,2,0.973090305507917,1
"BP","semicircular canal morphogenesis",9,2,0.0759737987623454,1
"BP","pigment granule organization",40,2,0.516446165907495,1
"BP","animal organ maturation",31,2,0.503755493824219,1
"BP","erythrocyte development",54,2,0.587317001739867,1
"BP","artery morphogenesis",83,2,0.906294688540137,1
"BP","brain morphogenesis",38,2,0.574939137592386,1
"BP","hydrogen peroxide biosynthetic process",16,2,0.113714505173009,1
"BP","regulation of defense response to virus",66,2,0.724764284051314,1
"BP","regulation of defense response to virus by host",44,2,0.494563768825075,1
"BP","positive regulation of peptidyl-tyrosine phosphorylation",53,2,0.647540597865346,1
"BP","negative regulation of phagocytosis",21,2,0.174448974541071,1
"BP","negative regulation of neurogenesis",144,2,0.99551467028286,1
"BP","negative regulation of axonogenesis",54,2,0.827836570332797,1
"BP","positive regulation of dendrite morphogenesis",36,2,0.594856592685451,1
"BP","regulation of behavior",78,2,0.836461695399861,1
"BP","activated T cell proliferation",47,2,0.484819125374041,1
"BP","regulation of coagulation",76,2,0.809509565758159,1
"BP","negative regulation of coagulation",56,2,0.618098566457567,1
"BP","defense response to Gram-negative bacterium",101,2,0.746732096722837,1
"BP","regulation of antigen receptor-mediated signaling pathway",73,2,0.80968010757836,1
"BP","regulation of B cell receptor signaling pathway",24,2,0.241740486797831,1
"BP","negative regulation of B cell activation",33,2,0.375055745003384,1
"BP","positive chemotaxis",66,2,0.765337971781665,1
"BP","snRNA transport",6,2,0.0218589494253192,1
"BP","positive regulation of small GTPase mediated signal transduction",74,2,0.911474879754661,1
"BP","negative regulation of small GTPase mediated signal transduction",67,2,0.883887536044879,1
"BP","positive regulation of binding",48,2,0.584430036386484,1
"BP","regulation of DNA binding",47,2,0.621593892761058,1
"BP","regulation of actin nucleation",37,2,0.492809935230581,1
"BP","vitamin transport",57,2,0.685876347018243,1
"BP","establishment of spindle localization",61,2,0.77909644595878,1
"BP","establishment of spindle orientation",47,2,0.626498434539606,1
"BP","positive regulation of transferase activity",158,2,0.994505486119237,1
"BP","negative regulation of transferase activity",98,2,0.921597531136519,1
"BP","positive regulation of stress fiber assembly",53,2,0.773758013784426,1
"BP","negative regulation of stress fiber assembly",33,2,0.493991014768767,1
"BP","dopamine uptake involved in synaptic transmission",12,2,0.122473262732724,1
"BP","response to hydrostatic pressure",6,2,0.0540466050300218,1
"BP","response to electrical stimulus",37,2,0.506279078849848,1
"BP","mitochondrion localization",56,2,0.719062304459248,1
"BP","nucleus localization",33,2,0.571428969785581,1
"BP","spindle localization",66,2,0.806564292211821,1
"BP","establishment of mitochondrion localization",35,2,0.48107494459806,1
"BP","positive regulation of calcium ion transport",100,2,0.923491929272606,1
"BP","catecholamine uptake involved in synaptic transmission",12,2,0.122473262732724,1
"BP","negative regulation of nervous system development",151,2,0.996764553658938,1
"BP","modulation by symbiont of entry into host",28,2,0.303843970091644,1
"BP","ventricular cardiac muscle tissue morphogenesis",48,2,0.66278104538426,1
"BP","positive regulation of cardiac muscle tissue growth",38,2,0.521308369538925,1
"BP","Sertoli cell differentiation",24,2,0.331090260311243,1
"BP","Sertoli cell development",17,2,0.210037245247478,1
"BP","retina morphogenesis in camera-type eye",72,2,0.871821991182988,1
"BP","negative regulation of cardiac muscle cell proliferation",14,2,0.10845442233191,1
"BP","positive regulation of cardiac muscle cell proliferation",32,2,0.458678323209579,1
"BP","regulation of protein glycosylation",9,2,0.0354062632107623,1
"BP","inner ear receptor cell development",53,2,0.704186194773934,1
"BP","inner ear receptor cell stereocilium organization",39,2,0.495169258966101,1
"BP","regulation of growth hormone secretion",13,2,0.124797609441445,1
"BP","positive regulation of growth hormone secretion",9,2,0.0567017961192277,1
"BP","maternal process involved in female pregnancy",58,2,0.70246040876845,1
"BP","regulation of cilium movement involved in cell motility",32,2,0.252212418453003,1
"BP","regulation of membrane repolarization",41,2,0.572278251787535,1
"BP","cardiac epithelial to mesenchymal transition",36,2,0.481127128435926,1
"BP","type I interferon-mediated signaling pathway",88,2,0.830732925552582,1
"BP","trabecula formation",26,2,0.327138231506354,1
"BP","heart trabecula formation",15,2,0.125533090973667,1
"BP","endochondral bone morphogenesis",58,2,0.819823891330495,1
"BP","regulation of atrial cardiac muscle cell membrane depolarization",10,2,0.0747445643355716,1
"BP","positive regulation of heart growth",42,2,0.604717541749061,1
"BP","apoptotic process involved in morphogenesis",28,2,0.424022505473327,1
"BP","branch elongation of an epithelium",21,2,0.265104701333939,1
"BP","tube closure",91,2,0.956448189288681,1
"BP","regulation of microtubule-based movement",61,2,0.654222842511413,1
"BP","mammary gland epithelial cell differentiation",18,2,0.225439878464743,1
"BP","ureteric bud morphogenesis",67,2,0.871395648307538,1
"BP","mammary gland alveolus development",20,2,0.292067548721508,1
"BP","semicircular canal development",11,2,0.122862278396649,1
"BP","heart formation",34,2,0.546406137233546,1
"BP","coronary vasculature development",49,2,0.70984668277412,1
"BP","endocrine hormone secretion",61,2,0.71753953266131,1
"BP","kidney morphogenesis",98,2,0.961449377823908,1
"BP","positive regulation of dendritic spine development",42,2,0.661308677799714,1
"BP","positive regulation of dendritic spine morphogenesis",20,2,0.32770872760327,1
"BP","cell differentiation involved in kidney development",58,2,0.827012582442079,1
"BP","hepaticobiliary system development",148,2,0.990771420101367,1
"BP","iris morphogenesis",9,2,0.0974213380347297,1
"BP","cell proliferation involved in heart morphogenesis",19,2,0.227252709211686,1
"BP","mammary gland lobule development",20,2,0.292067548721508,1
"BP","establishment of skin barrier",37,2,0.405349138206939,1
"BP","protein localization to lysosome",71,2,0.831336853975082,1
"BP","centriole elongation",11,2,0.0837356089270381,1
"BP","sympathetic ganglion development",9,2,0.0781082464576761,1
"BP","miRNA transcription",76,2,0.92490584285774,1
"BP","regulation of protein complex stability",16,2,0.186273923051346,1
"BP","reticulophagy",23,2,0.240169097366986,1
"BP","detection of stimulus involved in sensory perception of pain",29,2,0.396460895067201,1
"BP","intracellular protein transmembrane transport",31,2,0.380505613482423,1
"BP","neuron cellular homeostasis",64,2,0.781031714487735,1
"BP","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress",65,2,0.804070550288714,1
"BP","positive regulation of biomineral tissue development",54,2,0.759106993303303,1
"BP","establishment of protein localization to chromosome",22,2,0.250356062057411,1
"BP","protein trimerization",18,2,0.197698032470351,1
"BP","protein homotrimerization",15,2,0.144186525255992,1
"BP","regulation of T cell apoptotic process",43,2,0.533015855428822,1
"BP","negative regulation of T cell apoptotic process",25,2,0.296010829849652,1
"BP","regulation of G0 to G1 transition",38,2,0.485328174582314,1
"BP","uterine smooth muscle contraction",9,2,0.0543553968952647,1
"BP","regulation of uterine smooth muscle contraction",9,2,0.0543553968952647,1
"BP","positive regulation of uterine smooth muscle contraction",7,2,0.0328391006295148,1
"BP","protein K63-linked deubiquitination",28,2,0.319246898649227,1
"BP","regulation of protein processing",61,2,0.749533883789356,1
"BP","heterochromatin organization",12,2,0.128764846892409,1
"BP","inclusion body assembly",33,2,0.430473251154106,1
"BP","regulation of glycogen metabolic process",40,2,0.510911608150304,1
"BP","positive regulation of glycogen metabolic process",21,2,0.265471271443985,1
"BP","regulation of calcineurin-NFAT signaling cascade",39,2,0.567865075048005,1
"BP","bone maturation",27,2,0.408059501062984,1
"BP","regulation of phospholipid biosynthetic process",19,2,0.237982934548867,1
"BP","DNA conformation change",18,2,0.203536609879284,1
"BP","protein K48-linked deubiquitination",28,2,0.339590574610737,1
"BP","cellular response to L-leucine",12,2,0.122767334537505,1
"BP","cellular response to mechanical stimulus",75,2,0.839746607999689,1
"BP","cellular response to cadmium ion",26,2,0.149274880070518,1
"BP","cellular response to vitamin",32,2,0.43393560585793,1
"BP","cellular response to retinoic acid",69,2,0.872941346271794,1
"BP","cellular response to caffeine",11,2,0.0997367450579553,1
"BP","cellular response to cocaine",11,2,0.100237223001398,1
"BP","cellular response to ATP",19,2,0.164876384682224,1
"BP","cellular response to cAMP",56,2,0.768981571394591,1
"BP","cellular response to type I interferon",89,2,0.832301888747969,1
"BP","cellular response to glucocorticoid stimulus",55,2,0.67105433788714,1
"BP","cellular response to oxygen radical",22,2,0.207995463807625,1
"BP","cellular response to superoxide",22,2,0.207995463807625,1
"BP","cellular response to xenobiotic stimulus",195,2,0.993511810552341,1
"BP","cellular response to osmotic stress",59,2,0.78620019710216,1
"BP","cellular hyperosmotic response",22,2,0.28715888253982,1
"BP","cellular response to ionizing radiation",75,2,0.821176824165202,1
"BP","cellular response to UV-B",14,2,0.140161422168137,1
"BP","cellular response to fluid shear stress",34,2,0.549754015559323,1
"BP","protein localization to centrosome",38,2,0.575960753385279,1
"BP","dopaminergic neuron differentiation",44,2,0.626592132283437,1
"BP","response to dexamethasone",44,2,0.575610782445706,1
"BP","cellular response to dexamethasone stimulus",29,2,0.384520143732601,1
"BP","vocalization behavior",21,2,0.358564134545597,1
"BP","commissural neuron axon guidance",14,2,0.226492503592629,1
"BP","endoplasmic reticulum tubular network organization",23,2,0.267207197630309,1
"BP","response to monoamine",64,2,0.819017966480665,1
"BP","cellular response to monoamine stimulus",62,2,0.797938701240077,1
"BP","response to catecholamine",62,2,0.807595902020818,1
"BP","cellular response to catecholamine stimulus",60,2,0.785348054559369,1
"BP","response to epinephrine",15,2,0.228821942252596,1
"BP","cellular response to epinephrine stimulus",12,2,0.156191875805964,1
"BP","adrenergic receptor signaling pathway",33,2,0.404677660645199,1
"BP","negative regulation of protein serine/threonine kinase activity",34,2,0.432079788209159,1
"BP","multivesicular body sorting pathway",49,2,0.587558509804615,1
"BP","nephron morphogenesis",80,2,0.922909253000776,1
"BP","nephron tubule morphogenesis",76,2,0.906299994999609,1
"BP","nephron epithelium morphogenesis",78,2,0.912322797057591,1
"BP","regulation of stem cell proliferation",95,2,0.924338201299923,1
"BP","mesonephric tubule morphogenesis",68,2,0.876172526325159,1
"BP","nephric duct development",15,2,0.19495829183017,1
"BP","nephric duct morphogenesis",11,2,0.130839546752086,1
"BP","monocarboxylic acid catabolic process",128,2,0.964164057607225,1
"BP","intrinsic apoptotic signaling pathway by p53 class mediator",88,2,0.896087526620899,1
"BP","sulfur compound transport",68,2,0.828065930077706,1
"BP","tricarboxylic acid metabolic process",18,2,0.160007283991755,1
"BP","protein activation cascade",22,2,0.200358632588091,1
"BP","microtubule anchoring at microtubule organizing center",14,2,0.154755268756194,1
"BP","seminiferous tubule development",21,2,0.206374420689649,1
"BP","protein localization to peroxisome",18,2,0.195723632181167,1
"BP","establishment of protein localization to peroxisome",20,2,0.229068550868088,1
"BP","protein localization to vacuole",107,2,0.95340769120651,1
"BP","establishment of protein localization to vacuole",68,2,0.807611312392991,1
"BP","extracellular matrix assembly",52,2,0.704112347346676,1
"BP","atrial cardiac muscle cell action potential",19,2,0.251452342428893,1
"BP","atrial cardiac muscle cell to AV node cell signaling",19,2,0.251452342428893,1
"BP","Purkinje myocyte to ventricular cardiac muscle cell signaling",6,2,0.0356949171614074,1
"BP","membrane depolarization during AV node cell action potential",6,2,0.0511525539441169,1
"BP","membrane depolarization during SA node cell action potential",5,2,0.0492003392459486,1
"BP","atrial cardiac muscle cell to AV node cell communication",19,2,0.251452342428893,1
"BP","Purkinje myocyte to ventricular cardiac muscle cell communication",6,2,0.0356949171614074,1
"BP","bundle of His cell to Purkinje myocyte communication",15,2,0.159640305177127,1
"BP","amino acid import across plasma membrane",52,2,0.727566169389503,1
"BP","regulation of monocyte chemotaxis",31,2,0.267762654992334,1
"BP","positive regulation of monocyte chemotaxis",22,2,0.127709287111949,1
"BP","relaxation of muscle",35,2,0.495607207392383,1
"BP","membrane fission",45,2,0.60382448455507,1
"BP","regulation of release of cytochrome c from mitochondria",45,2,0.522606221934396,1
"BP","regulation of spindle checkpoint",24,2,0.23595277726648,1
"BP","regulation of mitotic cell cycle spindle assembly checkpoint",23,2,0.225407077486023,1
"BP","positive regulation of wound healing",65,2,0.740216496986975,1
"BP","regulation of superoxide metabolic process",31,2,0.407549326638778,1
"BP","phagosome maturation",30,2,0.393497001966309,1
"BP","phagosome-lysosome fusion",13,2,0.110377811364039,1
"BP","catecholamine uptake",19,2,0.211222973635763,1
"BP","dopamine uptake",18,2,0.199519062324557,1
"BP","epiboly",42,2,0.64506878450398,1
"BP","epiboly involved in wound healing",41,2,0.627369947919881,1
"BP","regulation of membrane permeability",73,2,0.790134548394703,1
"BP","t-circle formation",13,2,0.134843789923755,1
"BP","immunological memory process",19,2,0.142409549366977,1
"BP","immunological memory formation process",14,2,0.0789406893724008,1
"BP","telomere maintenance via telomere trimming",13,2,0.134843789923755,1
"BP","regulation of membrane lipid distribution",66,2,0.850540278352935,1
"BP","dendritic spine maintenance",23,2,0.330132480646873,1
"BP","presynaptic membrane organization",11,2,0.12138425331898,1
"BP","presynaptic membrane assembly",9,2,0.0914425939592695,1
"BP","postsynaptic density assembly",29,2,0.475795659368598,1
"BP","mesenchymal cell apoptotic process",15,2,0.197882483003898,1
"BP","ruffle assembly",42,2,0.561846488657688,1
"BP","amelogenesis",26,2,0.333918629052818,1
"BP","execution phase of apoptosis",90,2,0.876049609886641,1
"BP","amyloid-beta clearance",42,2,0.579388179427602,1
"BP","hepatocyte apoptotic process",20,2,0.270232398838703,1
"BP","programmed cell death in response to reactive oxygen species",23,2,0.24137060930409,1
"BP","potassium ion export across plasma membrane",24,2,0.330821613678016,1
"BP","calcineurin-mediated signaling",55,2,0.766904800344982,1
"BP","extracellular exosome biogenesis",21,2,0.282465907702793,1
"BP","G protein-coupled serotonin receptor signaling pathway",22,2,0.247304044449242,1
"BP","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane",19,2,0.261884122797084,1
"BP","postsynaptic specialization assembly",36,2,0.593061064636182,1
"BP","cellular response to interleukin-7",21,2,0.203359452795244,1
"BP","modulation of excitatory postsynaptic potential",51,2,0.815269716792638,1
"BP","protein transport along microtubule",14,2,0.156260619327186,1
"BP","regulation of cardiac muscle cell action potential",31,2,0.497244722262057,1
"BP","regulation of ventricular cardiac muscle cell action potential",12,2,0.163068471226125,1
"BP","modification of postsynaptic structure",35,2,0.561647867666139,1
"BP","vesicle tethering",32,2,0.399299302707619,1
"BP","presynapse assembly",45,2,0.706317154187036,1
"BP","tRNA 5'-end processing",16,2,0.0872725405603128,1
"BP","microtubule-based protein transport",14,2,0.156260619327186,1
"BP","presynaptic modulation of chemical synaptic transmission",42,2,0.597216266749278,1
"BP","presynapse organization",56,2,0.815159886585133,1
"BP","vesicle fusion to plasma membrane",32,2,0.473042411793021,1
"BP","maintenance of synapse structure",31,2,0.527296487249005,1
"BP","synaptic membrane adhesion",32,2,0.518413935802915,1
"BP","modification of synaptic structure",42,2,0.651773116731771,1
"BP","protein localization to axon",11,2,0.126790805432538,1
"BP","neurotransmitter receptor transport",20,2,0.31381103551835,1
"BP","axo-dendritic protein transport",9,2,0.0707212011643089,1
"BP","anterograde axonal protein transport",9,2,0.0707212011643089,1
"BP","regulation of calcineurin-mediated signaling",40,2,0.586033174173298,1
"BP","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway",20,2,0.340838316057193,1
"BP","negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway",13,2,0.1839016989163,1
"BP","aminoacyl-tRNA metabolism involved in translational fidelity",13,2,0.116390038334092,1
"BP","regulation of sterol biosynthetic process",37,2,0.469604924429937,1
"BP","positive regulation of sterol biosynthetic process",24,2,0.322859847882879,1
"BP","regulation of basement membrane organization",8,2,0.0976269601678429,1
"BP","negative regulation of plasma membrane bounded cell projection assembly",43,2,0.592188740044711,1
"BP","tight junction organization",88,2,0.895493358798823,1
"BP","extracellular vesicle biogenesis",23,2,0.306995156124752,1
"BP","cell-cell fusion",62,2,0.815876158135648,1
"BP","reciprocal homologous recombination",59,2,0.646156191757003,1
"BP","lncRNA transcription",6,2,0.0387402974488823,1
"BP","cell surface toll-like receptor signaling pathway",79,2,0.802241126084706,1
"BP","negative regulation of cAMP/PKA signal transduction",28,2,0.547039833619554,1
"BP","pyroptotic cell death",16,2,0.112757847938942,1
"BP","protein localization to cell-cell junction",27,2,0.429463259216776,1
"BP","cell junction disassembly",39,2,0.546777218834978,1
"BP","non-proteinogenic amino acid biosynthetic process",17,2,0.217775392934624,1
"BP","positive regulation of cytokine production involved in inflammatory response",38,2,0.376534761793334,1
"BP","regulation of ruffle assembly",30,2,0.41680603700514,1
"BP","negative regulation of cellular response to hypoxia",13,2,0.143859103271805,1
"BP","regulation of hemostasis",72,2,0.793595004697738,1
"BP","negative regulation of hemostasis",53,2,0.608284369732379,1
"BP","regulation of synaptic vesicle endocytosis",24,2,0.34504292313234,1
"BP","positive regulation of RIG-I signaling pathway",11,2,0.0915633457757173,1
"BP","positive regulation of vascular endothelial growth factor signaling pathway",15,2,0.221466503643857,1
"BP","insulin metabolic process",18,2,0.161659931441537,1
"BP","positive regulation of ERBB signaling pathway",34,2,0.436195192052381,1
"BP","positive regulation of non-canonical NF-kappaB signal transduction",66,2,0.704415740180652,1
"BP","regulation of hydrogen peroxide-mediated programmed cell death",18,2,0.168400419091177,1
"BP","regulation of flagellated sperm motility",23,2,0.13078525997322,1
"BP","regulation of mitophagy",49,2,0.636909258639263,1
"BP","regulation of hematopoietic progenitor cell differentiation",42,2,0.569958243162284,1
"BP","regulation of synaptic vesicle membrane organization",22,2,0.322604477861871,1
"BP","glycoside transport",6,2,0.0327037982318541,1
"BP","negative regulation of proteasomal protein catabolic process",64,2,0.754743647156051,1
"BP","regulation of muscle tissue development",43,2,0.632718709873433,1
"BP","positive regulation of post-translational protein modification",129,2,0.976258080828446,1
"BP","negative regulation of cell junction assembly",38,2,0.607760440436789,1
"BP","regulation of cell cycle checkpoint",48,2,0.607189203192684,1
"BP","regulation of cilium-dependent cell motility",32,2,0.252212418453003,1
"BP","positive regulation of flagellated sperm motility",15,2,0.0655602440835918,1
"BP","positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",9,2,0.0482318786123037,1
"BP","regulation of intrinsic apoptotic signaling pathway in response to DNA damage",41,2,0.504166962560026,1
"BP","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",34,2,0.445529288346484,1
"BP","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",20,2,0.228988898377694,1
"BP","positive regulation of sodium ion transmembrane transport",19,2,0.2201251318002,1
"BP","regulation of apoptotic process involved in morphogenesis",14,2,0.187595466255733,1
"BP","negative regulation of mRNA catabolic process",84,2,0.889218878108459,1
"BP","regulation of mitotic cytokinesis",16,2,0.129531662441309,1
"BP","negative regulation of stem cell population maintenance",26,2,0.34700316878787,1
"BP","regulation of protein localization to synapse",29,2,0.468999470562708,1
"BP","L-alpha-amino acid transmembrane transport",73,2,0.869519643002889,1
"BP","negative regulation of cellular response to vascular endothelial growth factor stimulus",20,2,0.198815125318982,1
"BP","regulation of receptor localization to synapse",30,2,0.463818939887405,1
"BP","apoptotic process involved in development",42,2,0.648800335051816,1
"BP","regulation of lamellipodium organization",54,2,0.766590153951189,1
"BP","negative regulation of cell cycle G2/M phase transition",75,2,0.822480868268275,1
"BP","negative regulation of cell cycle G1/S phase transition",82,2,0.83270850328125,1
"BP","positive regulation of cell cycle G1/S phase transition",68,2,0.781804304771594,1
"BP","regulation of response to oxidative stress",35,2,0.544554091441454,1
"BP","regulation of miRNA transcription",75,2,0.922907654484026,1
"BP","positive regulation of miRNA transcription",56,2,0.818274940946265,1
"BP","mitotic DNA replication",17,2,0.191528898130128,1
"BP","organelle disassembly",83,2,0.846105985965658,1
"BP","regulation of glycoprotein metabolic process",58,2,0.584936825575022,1
"BP","positive regulation of response to wounding",76,2,0.801973554870838,1
"BP","negative regulation of proteolysis involved in protein catabolic process",83,2,0.877840924030834,1
"BP","positive regulation of extracellular matrix organization",29,2,0.423215313165253,1
"BP","positive regulation of protein localization to plasma membrane",68,2,0.854105524067019,1
"BP","regulation of cardiac muscle hypertrophy in response to stress",21,2,0.200545095739621,1
"BP","negative regulation of cardiac muscle hypertrophy in response to stress",11,2,0.101109121590939,1
"BP","positive regulation of protein modification by small protein conjugation or removal",128,2,0.975637222829359,1
"BP","response to dopamine",56,2,0.756998722963546,1
"BP","cellular response to dopamine",55,2,0.744883905306722,1
"BP","regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",22,2,0.233688590296946,1
"BP","negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",15,2,0.120654136780468,1
"BP","response to glycoside",7,2,0.0383357086291476,1
"BP","regulation of synaptic vesicle recycling",29,2,0.411014999208848,1
"BP","negative regulation of reactive oxygen species biosynthetic process",21,2,0.199575576035817,1
"BP","positive regulation of reactive oxygen species biosynthetic process",21,2,0.208439329340709,1
"BP","regulation of mitotic cytokinetic process",7,2,0.0286238287988924,1
"BP","positive regulation of mitotic cytokinetic process",7,2,0.0286238287988924,1
"BP","positive regulation of mitotic cytokinesis",13,2,0.0930128991776576,1
"BP","regulation of mitotic spindle checkpoint",23,2,0.225407077486023,1
"BP","positive regulation of blood circulation",40,2,0.488203439010563,1
"BP","regulation of exosomal secretion",17,2,0.211114906160931,1
"BP","negative regulation of exosomal secretion",4,2,0.0215505990399538,1
"BP","positive regulation of exosomal secretion",15,2,0.154948072141135,1
"BP","negative regulation of tumor necrosis factor superfamily cytokine production",82,2,0.717437544208275,1
"BP","negative regulation of response to endoplasmic reticulum stress",50,2,0.675194922879476,1
"BP","negative regulation of sprouting angiogenesis",30,2,0.222260658039704,1
"BP","regulation of wound healing, spreading of epidermal cells",11,2,0.125739908191985,1
"BP","negative regulation of wound healing, spreading of epidermal cells",5,2,0.0390987655167115,1
"BP","regulation of aerobic respiration",30,2,0.336350535139396,1
"BP","regulation of phospholipid metabolic process",37,2,0.50007213090222,1
"BP","regulation of potassium ion export across plasma membrane",12,2,0.132710376742381,1
"BP","negative regulation of potassium ion export across plasma membrane",6,2,0.0439195799898706,1
"BP","regulation of cardiac conduction",28,2,0.420954478127657,1
"BP","positive regulation of cellular response to transforming growth factor beta stimulus",34,2,0.490486887825865,1
"BP","regulation of epithelial cell apoptotic process",56,2,0.721248427765034,1
"BP","positive regulation of epithelial cell apoptotic process",23,2,0.243726759545447,1
"BP","positive regulation of TORC1 signaling",71,2,0.841248250887292,1
"BP","regulation of ERAD pathway",26,2,0.298959221103583,1
"BP","positive regulation of protein localization to cell periphery",80,2,0.912322678288683,1
"BP","positive regulation of nitric oxide metabolic process",45,2,0.547043837898396,1
"BP","positive regulation of calcium ion transmembrane transport",60,2,0.71250719132733,1
"BP","response to amyloid-beta",60,2,0.729251116318357,1
"BP","cellular response to amyloid-beta",49,2,0.632516240780784,1
"BP","regulation of somatic stem cell population maintenance",12,2,0.136990992185025,1
"BP","regulation of apoptotic process involved in development",15,2,0.191084282620358,1
"BP","NLRP1 inflammasome complex assembly",8,2,0.0708441396399682,1
"BP","response to acetylcholine",51,2,0.679253022474626,1
"BP","cellular response to acetylcholine",47,2,0.643437323132422,1
"BP","cellular response to L-glutamate",9,2,0.109838122362546,1
"BP","semi-lunar valve development",49,2,0.73046072755992,1
"BP","protein localization to presynapse",11,2,0.105087695119758,1
"BP","protein localization to microtubule organizing center",39,2,0.595588262269772,1
"BP","response to nerve growth factor",54,2,0.759939655971169,1
"BP","cellular response to nerve growth factor stimulus",51,2,0.736115639162572,1
"BP","exosomal secretion",20,2,0.259795092086936,1
"BP","dorsal root ganglion development",7,2,0.0591164594299116,1
"BP","response to lectin",22,2,0.248280343021907,1
"BP","cellular response to lectin",22,2,0.248280343021907,1
